size,grade,D,B,L,qty,batch
70x35,F5,70,35,1200,19,1
70x35,F5,70,35,1500,75,1
70x35,F5,70,35,1800,75,1
70x35,F5,70,35,2100,23,1
70x35,F5,70,35,2300,54,1
70x35,F5,70,35,2700,36,1
70x35,F5,70,35,3000,35,1
70x35,F5,70,35,3300,11,1
70x35,F5,70,35,3600,5,1
70x35,F5,70,35,3900,3,1
70x35,F5,70,35,4200,3,1
70x35,F5,70,35,4500,1,1
90x35,F5,90,35,1200,8,1
90x35,F5,90,35,1500,9,1
90x35,F5,90,35,1800,7,1
90x35,F5,90,35,2100,8,1
90x35,F5,90,35,2300,40,1
90x35,F5,90,35,2400,25,1
90x35,F5,90,35,2700,3,1
90x35,F5,90,35,3000,6,1
90x35,F5,90,35,2100,1,1
90x35,F5,90,35,2300,11,1
90x35,F5,90,35,3000,3,1
70x35,MGP10,70,35,1200,11,1
70x35,MGP10,70,35,1500,45,1
70x35,MGP10,70,35,1800,45,1
70x35,MGP10,70,35,2100,14,1
70x35,MGP10,70,35,2300,32,1
70x35,MGP10,70,35,2700,22,1
70x35,MGP10,70,35,3000,21,1
70x35,MGP10,70,35,3300,7,1
70x35,MGP10,70,35,3600,3,1
70x35,MGP10,70,35,3900,1,1
70x35,MGP10,70,35,4200,2,1
90x35,MGP10,90,35,1200,4,1
90x35,MGP10,90,35,1500,5,1
90x35,MGP10,90,35,1800,4,1
90x35,MGP10,90,35,2100,5,1
90x35,MGP10,90,35,2300,24,1
90x35,MGP10,90,35,2400,15,1
90x35,MGP10,90,35,2700,2,1
90x35,MGP10,90,35,3000,4,1
90x35,MGP10,90,35,2100,1,1
90x35,MGP10,90,35,2300,7,1
90x35,MGP10,90,35,3000,2,1
70x35,MGP12,70,35,1200,4,1
70x35,MGP12,70,35,1500,15,1
70x35,MGP12,70,35,1800,15,1
70x35,MGP12,70,35,2100,4,1
70x35,MGP12,70,35,2300,11,1
70x35,MGP12,70,35,2700,7,1
70x35,MGP12,70,35,3000,7,1
70x35,MGP12,70,35,3300,2,1
70x35,MGP12,70,35,3600,1,1
70x35,MGP12,70,35,4200,1,1
90x35,MGP12,90,35,1200,1,1
90x35,MGP12,90,35,1500,2,1
90x35,MGP12,90,35,1800,1,1
90x35,MGP12,90,35,2100,1,1
90x35,MGP12,90,35,2300,8,1
90x35,MGP12,90,35,2400,5,1
90x35,MGP12,90,35,3000,1,1
90x35,MGP12,90,35,2300,2,1
70x35,MGP15,70,35,1200,3,1
70x35,MGP15,70,35,1500,15,1
70x35,MGP15,70,35,1800,15,1
70x35,MGP15,70,35,2100,4,1
70x35,MGP15,70,35,2300,10,1
70x35,MGP15,70,35,2700,7,1
70x35,MGP15,70,35,3000,7,1
70x35,MGP15,70,35,3300,2,1
70x35,MGP15,70,35,3600,1,1
90x35,MGP15,90,35,1200,1,1
90x35,MGP15,90,35,1500,2,1
90x35,MGP15,90,35,1800,1,1
90x35,MGP15,90,35,2100,1,1
90x35,MGP15,90,35,2300,8,1
90x35,MGP15,90,35,2400,5,1
90x35,MGP15,90,35,3000,1,1
90x35,MGP15,90,35,2300,2,1
